Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Beek,https://angel.co/beek-1,5,Apr '15,San Francisco,Lead Generation,http://www.beek.io,1-10,"",""
Second Measure,https://angel.co/second-measure,5,Dec '15,San Mateo,Finance Technology,http://www.secondmeasure.com,11-50,Seed,2000000
Bond Street,https://angel.co/bond-street,5,Feb '14,New York City,Small and Medium Businesses,https://bondstreet.com,11-50,Series A,111500000
CrossInstall,https://angel.co/crossinstall,5,Feb '14,San Francisco,Advertising Exchanges,http://www.crossinstall.com/,11-50,"",""
Remoov,https://angel.co/remoov,5,Apr '14,San Francisco,Bridging Online and Offline,http://www.remoovit.com,1-10,"",""
SupplyBetter,https://angel.co/supplybetter,5,Feb '14,San Francisco,B2B,http://supplybetter.com,1-10,"",""
Density,https://angel.co/density,5,Feb '14,San Francisco,B2B,http://density.io,11-50,Series A,4200000
GoodAudience,https://angel.co/goodaudience,5,Nov '13,San Francisco,Social Media Platforms,http://www.goodaudience.com,1-10,"",""
Scentbird,https://angel.co/scentbird-1,5,Nov '13,New York City,Beauty,http://scentbird.com,1-10,"",""
Billowby,https://angel.co/billowby,5,Feb '14,San Francisco,Marijuana,http://billowby.com,1-10,"",""
Bonafide,https://angel.co/bonafide-3,5,Feb '14,Mountain View,Personal Finance,https://bonafide.io,1-10,Series A,950000
Headout ,https://angel.co/headout,5,Feb '14,San Francisco,Mobile Commerce,http://www.headout.com,51-200,Seed,1800000
Weave,https://angel.co/weave-networking,5,Feb '14,San Francisco,Location Based Services,http://weave.in,1-10,"",""
Sportsy,https://angel.co/sportsy,5,Aug '14,Los Angeles,SaaS,https://www.sportsy.com/,1-10,"",445000
Moltin,https://angel.co/moltin,5,Dec '13,Mountain View,Developer APIs,https://moltin.com,11-50,Seed,2120000
Ceres Imaging,https://angel.co/ceres-imaging,5,Dec '13,San Francisco,Water,http://www.ceresimaging.net/,11-50,"",""
Mapillary,https://angel.co/mapillary,5,Dec '13,Malmö,Maps,https://www.mapillary.com/,11-50,Series A,9550000
Allclasses,https://angel.co/allclasses,5,Mar '14,Boston,Marketplaces,https://allclasses.com,1-10,Acquired,1500000
Managed by Q,https://angel.co/managed-by-q,5,Aug '14,New York City,Office Space,http://www.managedbyq.com,201-500,"",72925000
Zycada Networks,https://angel.co/zycada-networks,5,Sep '15,Palo Alto,Internet Infrastructure,http://www.zycada.com,1-10,Seed,""
Nylas,https://angel.co/nylas,5,Jul '14,San Francisco,Application Platforms,https://www.nylas.com,11-50,Series A,8000000
Zymergen,https://angel.co/zymergen,5,Jan '14,Emeryville,Robotics,http://zymergen.com,51-200,Series B,174000000
AltspaceVR,https://angel.co/altspacevr,5,May '14,"",Virtual Worlds,http://altvr.com,11-50,Series A,15500000
OUTRO,https://angel.co/outro,5,Feb '14,Salt Lake City,B2B,http://www.outro.com,1-10,Seed,1450000
Hightower,https://angel.co/hightower,5,Jul '13,New York City,Commercial Real Estate,http://www.gethightower.com,11-50,"",21620000
Jack Erwin,https://angel.co/jack-erwin,5,Sep '13,New York City,Fashion,http://jackerwin.com,11-50,Series B,11750000
"Hampton Creek, Inc. ",https://angel.co/hampton-creek-inc,5,Jan '14,San Francisco,Hospitality,http://hamptoncreek.com/,51-200,Series C,120000000
Shelf.com,https://angel.co/shelf-com,5,Aug '13,San Francisco,Collaborative Consumption,https://shelf.com,1-10,"",""
SpoonRocket,https://angel.co/spoonrocket,5,Feb '14,San Francisco,Mobile Commerce,http://www.spoonrocket.com,11-50,"",23300000
Birdi,https://angel.co/birdi,5,Aug '13,San Francisco,Consumer Electronics,http://www.birdihome.com,1-10,Seed,1200000
Clutter,https://angel.co/clutter,5,Aug '13,San Francisco,Self Storage,http://clutter.com,201-500,Series B,32300000
Insightly,https://angel.co/insightly-1,5,Aug '13,San Francisco,Small and Medium Businesses,http://www.insightly.com,11-50,Series C,38000000
Clect - Collect Together,https://angel.co/clect-collect-together,5,Jul '13,San Francisco,Collectibles,http://www.clect.com,1-10,"",225000
TrueVault,https://angel.co/truevault,5,Jul '13,San Jose,Data Security,https://www.truevault.com,1-10,Seed,2500000
Integral Ad Science,https://angel.co/integral-ad-science,5,Aug '13,New York City,Advertising Platforms,http://integralads.com/,201-500,"",74250000
Promoter.io,https://angel.co/promoter-io,5,Apr '13,San Antonio,Small and Medium Businesses,http://www.promoter.io,1-10,Seed,1037000
Rock Health,https://angel.co/rockhealth,5,Mar '13,San Francisco,Startups,http://rockhealth.com,1-10,"",""
Planet,https://angel.co/planet-labs,5,Sep '14,San Francisco,Predictive Analytics,https://www.planet.com/,51-200,"",158000000
BringMeThat,https://angel.co/bringmethat,5,Jun '13,New York City,E-Commerce Platforms,http://www.bringmethat.com,1-10,"",400000
Aptible,https://angel.co/aptible,5,Jun '13,Brooklyn,Enterprise Security,https://www.aptible.com,1-10,"",""
Robinhood,https://angel.co/robinhood,5,Jul '13,Palo Alto,Personal Finance,http://www.robinhood.com,11-50,Series B,66000000
DataFox,https://angel.co/datafox,5,Feb '14,San Francisco,Financial Technology,http://www.datafox.com,11-50,Seed,7000000
fitmob,https://angel.co/fitmob,5,Jun '13,San Francisco,Fitness,http://www.fitmob.com/,11-50,Series A,21250000
Sales Beach,https://angel.co/sales-beach,5,Jul '13,San Francisco,Lead Generation,http://salesbeach.com,1-10,"",""
Two Tap,https://angel.co/two-tap,5,Jul '13,San Francisco,Mobile Commerce,https://twotap.com,11-50,Seed,2700000
Patreon,https://angel.co/patreon,5,Aug '13,San Francisco,Crowdfunding,http://www.patreon.com,51-200,Series B,47100000
Standard Treasury,https://angel.co/standard-treasury,5,Aug '13,San Francisco,Developer APIs,http://www.standardtreasury.com,1-10,Acquired,2700000
Hint Health,https://angel.co/hinthealth,5,Aug '13,San Francisco,Billing,http://www.hint.com,1-10,"",""
iodine,https://angel.co/iodine,5,Dec '13,San Francisco,Mobile Health,http://www.iodine.com,1-10,"",""
PiinPoint ,https://angel.co/piinpoint,5,Aug '13,Waterloo,Location Based Services,http://www.piinpoint.com,11-50,"",""
Omies,https://angel.co/omies,5,Aug '13,San Francisco,Fitness,http://www.omiesyoga.com,1-10,"",""
Ellie,https://angel.co/ellie,5,Aug '13,Santa Monica,Social Commerce,http://www.ellie.com,11-50,"",2600000
Move Loot,https://angel.co/move-loot,5,Aug '13,San Francisco,Shared Services,http://moveloot.com,51-200,"",14300000
Studio Cy,https://angel.co/studiocy,5,Jan '15,Earth,Lifestyle Businesses,http://www.studiocy.net,1-10,"",""
Maxwell Health,https://angel.co/maxwell-health,5,Aug '13,Boston,Human Resources,http://www.maxwellhealth.com/,1-10,Series A,58370000
Skip,https://angel.co/skip-3,5,Sep '13,New York City,Retail Technology,http://skip.it,1-10,"",""
Quettra,https://angel.co/quettra,5,Aug '13,Mountain View,Mobile Advertising,http://www.quettra.com,1-10,Acquired,2900000
Solidarium,https://angel.co/solidarium,5,Aug '13,Mountain View,Handmade,http://www.solidarium.net,1-10,"",""
Avanoo,https://angel.co/avanoo,5,Aug '13,San Francisco,Training,http://www.avanoo.com,1-10,Seed,3350000
YesGraph,https://angel.co/yesgraph,5,Feb '14,Redwood City,Developer APIs,http://www.yesgraph.com,1-10,Seed,2300000
Framed Data,https://angel.co/framed-data,5,Aug '13,San Francisco,Data Mining,http://www.framed.io,1-10,Acquired,2000000
CodeHS,https://angel.co/codehs,5,Aug '13,San Francisco,K-12 Education,http://codehs.com,11-50,Seed,2400000
Gigster,https://angel.co/gigster-1,5,Aug '13,San Francisco,Web Development,http://www.gigster.com,1-10,Series A,10000000
Cleanly,https://angel.co/cleanly,5,May '14,New York City,Logistics,http://www.cleanly.com,11-50,Seed,2300000
SimpleLegal,https://angel.co/simplelegal,5,Aug '13,Mountain View,B2B,http://www.simplelegal.com,1-10,"",""
Watchsend,https://angel.co/watchsend,5,Aug '13,Mountain View,User Testing,http://www.watchsend.com,1-10,Acquired,""
Soothe,https://angel.co/soothe,5,Jun '14,Los Angeles,Marketplaces,http://soothe.com,1-10,Series B,47300000
SketchDeck,https://angel.co/sketchdeck,5,Dec '13,Mountain View,Marketplaces,http://sketchdeck.com,1-10,Seed,2200000
Pomelo Fashion,https://angel.co/pomelo-fashion,5,Jan '14,Bangkok,Mobile Commerce,http://www.pomelofashion.com/en/,11-50,Seed,1600000
Confide,https://angel.co/confide,5,Jan '14,New York City,Messaging,http://getconfide.com,1-10,Seed,3500000
ALOHA,https://angel.co/aloha,5,Oct '14,New York City,Health and Wellness,http://www.ALOHA.com,11-50,Seed,4500000
TapFwd,https://angel.co/tapfwd,5,Jan '14,San Francisco,Mobile Advertising,http://www.tapfwd.com,1-10,Seed,3000000
PreFix,https://angel.co/prefixinc,5,Jan '14,Austin,"",http://www.prefixinc.com,1-10,"",""
Fieldbook,https://angel.co/fieldbook,5,Jan '14,San Mateo,Freemium,http://fieldbook.com,1-10,Seed,2925000
Exposure,https://angel.co/exposure-co,5,Jan '15,San Francisco,Journalism,https://exposure.co,1-10,"",""
LivBlends,https://angel.co/livblends,5,Jan '14,San Francisco,Health and Wellness,http://www.livblends.com,1-10,Seed,877000
Chaldal.com,https://angel.co/chaldal,5,Jan '14,Dhaka,Groceries,http://www.chaldal.com,201-500,"",""
Bowery,https://angel.co/bowery,5,Jan '14,New York City,Developer Tools,http://bowery.io,1-10,Seed,1500000
Hologram,https://angel.co/hologram_io,5,Jan '14,San Francisco,Consumer Electronics,http://www.hologram.io,11-50,Seed,6100000
Bright,https://angel.co/bright-3,5,Mar '15,San Francisco,Mexico,http://thinkbright.mx,1-10,Seed,4240000
digit.co,https://angel.co/digit-co,5,Apr '14,San Francisco,Financial Services,https://digit.co,11-50,Series B,36300000
Sightly,https://angel.co/sightly,5,May '14,San Diego,Mobile Advertising,http://www.sightly.com,11-50,Seed,2800000
Periscope,https://angel.co/periscope-1,5,May '14,San Francisco,Location Based Services,http://periscope.tv,11-50,"",""
Stitch,https://angel.co/stitch,5,Apr '14,San Francisco,Online Dating,http://www.stitch.net,1-10,Seed,3250000
Final,https://angel.co/final,5,Oct '14,Oakland,Fraud Detection,https://getFinal.com,11-50,Seed,1000000
Giant Swarm,https://angel.co/giant-swarm,5,Jul '14,Cologne,Cloud Infrastructure,http://giantswarm.io,11-50,Seed,2335000
Clarifai,https://angel.co/clarifai,5,May '14,New York City,Photo Sharing,http://clarifai.com,11-50,"",40000000
Speakeasy,https://angel.co/speakeasy-8,5,Jun '14,San Francisco,Communications Software,http://www.speakeasy.co,11-50,Series A,5000000
Uguru.me,https://angel.co/uguru-me,5,May '14,San Francisco,University Students,http://Uguru.me,1-10,"",""
Checkr,https://angel.co/checkr,5,Aug '14,San Francisco,Software Engineering,https://checkr.com/,51-200,Series B,58000000
Lawn Love,https://angel.co/lawn-love,5,May '14,San Diego,Local Services,http://lawnlove.com,11-50,Seed,2020000
Fanhandle,https://angel.co/fanhandle-1,5,Jul '15,"","",http://fanhandle.com,1-10,"",""
Happy Home,https://angel.co/the-happy-home-company,5,Apr '15,San Jose,Home & Garden,http://www.thehappyhome.co,11-50,"",""
Opticlose,https://angel.co/opticlose,5,Jun '14,New York City,Small and Medium Businesses,http://www.opticlose.com,1-10,"",""
LaunchDarkly,https://angel.co/launchdarkly,5,May '14,Oakland,Developer Tools,http://launchdarkly.com,11-50,Series A,11300000
HoneyLedger,https://angel.co/wow-such-business,5,May '14,Arcata,Content Creators,http://www.honeyledger.com/,1-10,Seed,445000
Pushbullet,https://angel.co/pushbullet,5,Apr '14,San Francisco,Mobile,https://www.pushbullet.cm,1-10,"",""
Vouch Financial,https://angel.co/vouch-financial,5,Jun '14,San Francisco,Financial Services,https://vouch.com,11-50,"",9000000
CodeCombat,https://angel.co/codecombat,5,Jun '14,San Francisco,K-12 Education,https://codecombat.com,11-50,Seed,2000000
Sliced Investing,https://angel.co/sliced-investing,5,Jul '14,San Francisco,Investment Management,https://www.slicedinvesting.com/?ref=al,1-10,Seed,2000000
